GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mail_merge_application,ru.job4j.input,ConsoleInput,50,0,4,0,9,0,6,0,4,0
mail_merge_application,ru.job4j.input,StabInput,0,29,0,0,0,7,0,4,0,4
mail_merge_application,ru.job4j.input,ValidateInput,62,0,4,0,25,0,6,0,4,0
mail_merge_application,ru.job4j.start,StartUI,19,43,0,2,2,12,1,3,1,2
mail_merge_application,ru.job4j.start,Menu,0,73,1,3,0,16,1,6,0,5
mail_merge_application,ru.job4j.actions,MergeMails,0,30,0,0,0,6,0,2,0,2
mail_merge_application,ru.job4j.actions,BaseAction,0,25,0,0,0,5,0,2,0,2
mail_merge_application,ru.job4j.actions,ExitAction,0,7,0,0,0,3,0,2,0,2
mail_merge_application,ru.job4j.model,User,13,49,5,3,3,11,5,5,1,5
mail_merge_application,ru.job4j.logic,Reader,3,86,2,4,2,19,2,6,0,5
mail_merge_application,ru.job4j.logic,Logic,0,85,0,8,0,20,0,6,0,2
